PARENT NAME,VARIETY NAME,SUB-VARIETY,TAGS,PARENT IMAGE,VARIETY IMAGE
Cabbages,Bok Choy,Toy Choy,"vegetable, asian",cabbages_green.jpeg,
Cabbages,Brussels Sprouts,Green,vegetable,cabbages_green.jpeg,
Cabbages,Brussels Sprouts,Purple,vegetable,cabbages_green.jpeg,
Cabbages,Green,,vegetable,cabbages_green.jpeg,cabbages_green.jpeg
Cabbages,Napa,,"vegetable, asian",cabbages_green.jpeg,
Cabbages,Red,,vegetable,cabbages_green.jpeg,
Cabbages,Savoy,,"vegetable, asian",cabbages_green.jpeg,
Capers,Berry,,garnish,capers_berry.jpeg,capers_berry.jpeg
Capers,Bud,,garnish,capers_berry.jpeg,
Carrots,Golden,,vegetable,carrots_imperator.jpeg,
Carrots,Imperator,,vegetable,carrots_imperator.jpeg,carrots_imperator.jpeg
Carrots,Miniature,,vegetable,carrots_imperator.jpeg,
Carrots,Purple,,vegetable,carrots_imperator.jpeg,
Carrots,Red,,vegetable,carrots_imperator.jpeg,
Carrots,Thinnings,,vegetable,carrots_imperator.jpeg,
Cauliflower,Green,,vegetable,cauliflower_white.jpeg,
Cauliflower,Orange,,vegetable,cauliflower_white.jpeg,
Cauliflower,Purple,,vegetable,cauliflower_white.jpeg,
Cauliflower,Romanesco,,vegetable,cauliflower_white.jpeg,
Cauliflower,White,,vegetable,cauliflower_white.jpeg,cauliflower_white.jpeg
Celery,Leaf,,vegetable,celery_standard.jpeg,
Celery,Smallage,,vegetable,celery_standard.jpeg,
Celery,Standard,,vegetable,celery_standard.jpeg,celery_standard.jpeg
Cereals,Amaranth,,grain,cereals.jpeg,
Cereals,Barley,,grain,cereals.jpeg,
Cereals,Buckwheat,,grain,cereals.jpeg,
Cereals,Bulgur,,grain,cereals.jpeg,
Cereals,Farro,,grain,cereals.jpeg,
Cereals,Grano,,grain,cereals.jpeg,
Cereals,Kamut,,grain,cereals.jpeg,
Cereals,Kaniwa,,grain,cereals.jpeg,
Cereals,Millet,,grain,cereals.jpeg,
Cereals,Oats,,grain,cereals.jpeg,
Cereals,Quinoa,,grain,cereals.jpeg,
Cereals,Rice,Arborio,rice,cereals.jpeg,
Cereals,Rice,California Medium Grain,rice,cereals.jpeg,
Cereals,Rice,California Mochi,rice,cereals.jpeg,
Cereals,Rice,Indian Basmati,rice,cereals.jpeg,
Cereals,Rice,Japanese,rice,cereals.jpeg,
Cereals,Rice,Southern Long Grain,rice,cereals.jpeg,
Cereals,Rice,Southern Medium Grain,rice,cereals.jpeg,
Cereals,Rice,Thai Jasmine,rice,cereals.jpeg,
Cereals,Rice,Wild,rice,cereals.jpeg,
Cereals,Rye,,grain,cereals.jpeg,
Cereals,Sorghum (Milo),,grain,cereals.jpeg,
Cereals,Spelt,,grain,cereals.jpeg,
Cereals,Teff,,grain,cereals.jpeg,
Cereals,Triticale,,grain,cereals.jpeg,
Cereals,Wheat,,grain,cereals.jpeg,
Cherries,Sour,Early Richmond,fruit,cherries.jpeg,
Cherries,Sour,English Morello,fruit,cherries.jpeg,
Cherries,Sour,Meteor,fruit,cherries.jpeg,
Cherries,Sour,Montmorency,fruit,cherries.jpeg,
Cherries,Sour,Morello,fruit,cherries.jpeg,
Cherries,Sour,North Star,fruit,cherries.jpeg,
Cherries,Sweet,Bing,fruit,cherries.jpeg,
Cherries,Sweet,Black Tartarian,fruit,cherries.jpeg,
Cherries,Sweet,Brooks,fruit,cherries.jpeg,
Cherries,Sweet,Burlat,fruit,cherries.jpeg,
Cherries,Sweet,Chelan,fruit,cherries.jpeg,
Cherries,Sweet,Chinook,fruit,cherries.jpeg,
Cherries,Sweet,Collosal,fruit,cherries.jpeg,
Cherries,Sweet,Compact Lambert,fruit,cherries.jpeg,
Cherries,Sweet,Corum,fruit,cherries.jpeg,
Cherries,Sweet,Early Burlat,fruit,cherries.jpeg,
Cherries,Sweet,Emperor Francis,fruit,cherries.jpeg,
Cherries,Sweet,God,fruit,cherries.jpeg,
Cherries,Sweet,Hedelfingen,fruit,cherries.jpeg,
Cherries,Sweet,Hudson,fruit,cherries.jpeg,
Cherries,Sweet,Lambert,fruit,cherries.jpeg,
Cherries,Sweet,Lapin,fruit,cherries.jpeg,
Cherries,Sweet,Larian,fruit,cherries.jpeg,
Cherries,Sweet,Napoleon,fruit,cherries.jpeg,
Cherries,Sweet,Rainier,fruit,cherries.jpeg,
Cherries,Sweet,Red Lack,fruit,cherries.jpeg,
Cherries,Sweet,Sam,fruit,cherries.jpeg,
Cherries,Sweet,Schmidt,fruit,cherries.jpeg,
Cherries,Sweet,Stella,fruit,cherries.jpeg,
Cherries,Sweet,Tulare,fruit,cherries.jpeg,
Cherries,Sweet,Ulster,fruit,cherries.jpeg,
Cherries,Sweet,Vista,fruit,cherries.jpeg,
Cherries,Sweet,Windsor,fruit,cherries.jpeg,
Citrons,Bajoura,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Balady,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Brain,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Braverman,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Buddha's Hand (Fingered),,"fruit, citrus",citrons_fingered.jpeg,citrons_fingered.jpeg
Citrons,Cedruna,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Corsican,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Diamante,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Etrog,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Halperin,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Italian,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Kivelevitz,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Lefkowitz,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Mexican,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Moroccan,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Odorata,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Siciliam,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Yemen,,"fruit, citrus",citrons_fingered.jpeg,
Citrons,Yunnan,,"fruit, citrus",citrons_fingered.jpeg,
Corn,Augmented Supersweet,Bicolor,vegetable,corn.jpeg,
Corn,Augmented Supersweet,White,vegetable,corn.jpeg,
Corn,Augmented Supersweet,Yellow,vegetable,corn.jpeg,
Corn,Popcorn,,vegetable,corn.jpeg,
Corn,Standard Sweet (su),Bicolor,vegetable,corn.jpeg,
Corn,Standard Sweet (su),Multicolor,vegetable,corn.jpeg,
Corn,Standard Sweet (su),White,vegetable,corn.jpeg,
Corn,Standard Sweet (su),Yellow,vegetable,corn.jpeg,
Corn,Sugary Extender (se),Bicolor,vegetable,corn.jpeg,
Corn,Sugary Extender (se),Red,vegetable,corn.jpeg,
Corn,Sugary Extender (se),White,vegetable,corn.jpeg,
Corn,Sugary Extender (se),Yellow,vegetable,corn.jpeg,
Corn,Supersweet (sh2),Bicolor,vegetable,corn.jpeg,
Corn,Supersweet (sh2),White,vegetable,corn.jpeg,
Corn,Supersweet (sh2),Yellow,vegetable,corn.jpeg,
Corn,Synergistic (sy),Bicolor,vegetable,corn.jpeg,
Corn,Synergistic (sy),White,vegetable,corn.jpeg,
Corn,Synergistic (sy),Yellow,vegetable,corn.jpeg,
Cress,Garden,,vegetable,cress_water.jpeg,
Cress,Korean Water,,"vegetable, asian",cress_water.jpeg,
Cress,Nasturtium,,vegetable,cress_water.jpeg,
Cress,Upland,,vegetable,cress_water.jpeg,
Cress,Water,,vegetable,cress_water.jpeg,cress_water.jpeg
Cucumbers,Armenian,,vegetable,cucumbers_english.jpeg,
Cucumbers,Chinese,,vegetable,cucumbers_english.jpeg,
Cucumbers,English,,vegetable,cucumbers_english.jpeg,cucumbers_english.jpeg
Cucumbers,Garden,,vegetable,cucumbers_english.jpeg,
Cucumbers,Gherkin (West Indian),,vegetable,cucumbers_english.jpeg,
Cucumbers,Kirby,,vegetable,cucumbers_english.jpeg,
Cucumbers,Lemon,,vegetable,cucumbers_english.jpeg,
Cucumbers,Persian,,vegetable,cucumbers_english.jpeg,
Edible Flowers,Chamomile,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Chrysanthemum,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Citrus Blossom,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Clover,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Daisy,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Dandelion,,garnish,edibleflowers_marigold.jpeg,edibleflowers_marigold.jpeg
Edible Flowers,Daylily,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Ice Plant,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Jasmine,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Lilac,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Marigold,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Nasturtium,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Pansy,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Rampion,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Rose,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Squash Blossom,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Sunflower,,garnish,edibleflowers_marigold.jpeg,
Edible Flowers,Violet,,garnish,edibleflowers_marigold.jpeg,
Eggplants,Albino,,vegetable,eggplants_blackbeauty.jpeg,
Eggplants,Black Beauty,,vegetable,eggplants_blackbeauty.jpeg,eggplants_blackbeauty.jpeg
Eggplants,Black Bell,,vegetable,eggplants_blackbeauty.jpeg,
Eggplants,Black Magic,,vegetable,eggplants_blackbeauty.jpeg,
Eggplants,Chinese,,"vegetable, asian",eggplants_blackbeauty.jpeg,
